file,line,type,commit,author,date,time,timezone,datetime,depth,length
src\routes\+layout.svelte,18,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,0
src\routes\+layout.svelte,19,js,958416f5,JoãoGabriel,2025-04-27,12:45:05,-03:00,2025-04-27T12:45:05-03:00,0,0
src\routes\+layout.svelte,20,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,22
src\routes\+layout.svelte,21,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,37
src\routes\+layout.svelte,22,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,64
src\routes\+layout.svelte,23,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,56
src\routes\+layout.svelte,24,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,0
src\routes\+layout.svelte,25,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,0
src\routes\+layout.svelte,26,js,958416f5,JoãoGabriel,2025-04-27,12:45:05,-03:00,2025-04-27T12:45:05-03:00,0,0
src\routes\+layout.svelte,27,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,23
src\routes\+layout.svelte,28,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,56
src\routes\+layout.svelte,29,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,41
src\routes\+layout.svelte,30,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,48
src\routes\+layout.svelte,31,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,0
src\routes\+layout.svelte,32,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,12
src\routes\+layout.svelte,33,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,0
src\routes\+layout.svelte,34,js,958416f5,JoãoGabriel,2025-04-27,12:45:05,-03:00,2025-04-27T12:45:05-03:00,0,0
src\routes\+layout.svelte,35,js,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,12
src\routes\+layout.svelte,36,svelte,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,8
src\routes\+layout.svelte,37,svelte,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,0
src\routes\+layout.svelte,38,svelte,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,22
src\routes\+layout.svelte,39,svelte,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,17
src\routes\+layout.svelte,40,svelte,00000000,Not Committed Yet,2025-04-29,21:03:46,-03:00,2025-04-29T21:03:46-03:00,0,48
src\routes\+layout.svelte,41,svelte,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,5
src\routes\+layout.svelte,42,svelte,958416f5,JoãoGabriel,2025-04-27,12:45:05,-03:00,2025-04-27T12:45:05-03:00,0,0
src\routes\+layout.svelte,43,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,22
src\routes\+layout.svelte,44,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,20
src\routes\+layout.svelte,45,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,112
src\routes\+layout.svelte,46,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,11
src\routes\+layout.svelte,47,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,3
src\routes\+layout.svelte,48,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,6
src\routes\+layout.svelte,49,svelte,958416f5,JoãoGabriel,2025-04-27,12:45:05,-03:00,2025-04-27T12:45:05-03:00,0,5
src\routes\+layout.svelte,50,svelte,958416f5,JoãoGabriel,2025-04-27,12:45:05,-03:00,2025-04-27T12:45:05-03:00,0,0
src\routes\+layout.svelte,51,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,26
src\routes\+layout.svelte,52,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,30
src\routes\+layout.svelte,53,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,28
src\routes\+layout.svelte,54,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,7
src\routes\+layout.svelte,55,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,6
src\routes\+layout.svelte,56,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,6
src\routes\+layout.svelte,57,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,4
src\routes\+layout.svelte,58,svelte,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,8
src\routes\+layout.svelte,59,svelte,958416f5,JoãoGabriel,2025-04-27,12:45:05,-03:00,2025-04-27T12:45:05-03:00,0,5
src\routes\+layout.svelte,60,svelte,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,7
src\routes\+layout.svelte,61,svelte,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,0
src\routes\+layout.svelte,62,svelte,2de57622,JoãoGabriel,2025-04-24,15:42:44,-03:00,2025-04-24T15:42:44-03:00,0,21
src\routes\+layout.svelte,63,svelte,2de57622,JoãoGabriel,2025-04-24,15:42:44,-03:00,2025-04-24T15:42:44-03:00,0,12
src\routes\+layout.svelte,64,svelte,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,6
src\routes\+layout.svelte,65,svelte,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,0
src\routes\+layout.svelte,66,svelte,070e6cd3,JoãoGabriel,2025-04-24,15:24:37,-03:00,2025-04-24T15:24:37-03:00,0,6
src\routes\+layout.svelte,67,css,2de57622,JoãoGabriel,2025-04-24,15:42:44,-03:00,2025-04-24T15:42:44-03:00,0,9
src\routes\+layout.svelte,68,css,9ce79269,Vinasque,2025-04-28,18:15:43,-03:00,2025-04-28T18:15:43-03:00,0,16
